,ret,weight,turnover,target,evrp,idx_ret
2012-07-10,-0.006884018143009607,-0.18797806253599522,0.0,-0.18719999999999998,2.5860078353509586,0.038287086446104596
2012-07-11,0.007425878461214844,-0.1792213084207877,0.0,-0.1795,1.8718083069577673,-0.03950396318077217
2012-07-12,-0.0014705824671901709,-0.1809580045567768,0.0,-0.1833,2.517967941734023,0.008205399682371694
2012-07-13,0.010801011077238734,-0.0837,0.0845898798725501,-0.0837,-0.9371596974942911,-0.05992167101827677
2012-07-16,0.00024520268082909257,-0.1711,0.08771316299992026,-0.1711,4.7090025852446615,-0.0034535156789612027
2012-07-17,0.006627943203749656,-0.1633891229691007,0.0,-0.1648,3.633367476084235,-0.038737248414667774
2012-07-18,-0.0008902388385992769,-0.1644257399875023,0.0,-0.1616,3.1891105469426897,0.005448580801597389
2012-07-19,0.003967377104256081,-0.15982427969527893,0.0,-0.1545,2.681333426427006,-0.024128686327077712
2012-07-20,-0.008254410768811862,-0.16947762842523675,0.0,-0.16269999999999998,3.5798858957579025,0.051646788488893716
2012-07-23,-0.014282710885220035,-0.18642296461643898,0.0,-0.1862,4.8087487184349715,0.08427490411526911
2012-07-24,-0.009170090537853436,-0.1974032609294833,0.0,-0.2047,6.6817973169022125,0.04918970448045759
2012-07-25,0.00670952803848058,-0.189422795334578,0.0,-0.1934,5.5513295127586435,-0.033988942264116744
2012-07-26,0.0165756025866009,-0.17002886190479125,0.0,-0.1753,1.7698233809539978,-0.08750584932147881
2012-07-27,0.004152978844685225,-0.16518985309484646,0.0,-0.16699999999999998,0.49045463260247857,-0.02442514052120582
2012-07-30,-0.00703008866826925,-0.17343923496346567,0.0,-0.18030000000000002,1.962803244526448,0.04255763012412639
2012-07-31,-0.0034584094708567303,-0.17751155206717797,0.0,-0.1893,2.4358456143797405,0.019940179461615082
2012-08-01,0.002040561436329944,-0.17511366044836255,0.0,-0.18960000000000002,2.8422047628895584,-0.011495372625426136
2012-08-02,0.007396745971787423,-0.16648546379290383,0.0,-0.1757,1.145433398449896,-0.04223968565815328
2012-08-03,0.011968776344896665,-0.0782,0.07444678677257956,-0.0782,-2.935854241390672,-0.07211440245148112
2012-08-06,0.0016020376862401326,-0.0764754457675682,0.0,-0.07975,-1.3386536688907498,-0.020486415425065633
2012-08-07,-0.003223632688186761,-0.15990000000000001,0.07998649902035371,-0.15990000000000001,0.03559369408623425,0.041629563668744325
2012-08-08,0.006954493103652645,-0.0766,0.07524615783993333,-0.0766,-0.5641189486845803,-0.04372805617618893
2012-08-09,0.0010216841901454436,-0.1528,0.07734036832483827,-0.1528,0.7322099736961167,-0.013842746400885937
2012-08-10,0.0011613278193807843,-0.15146277424728527,0.0,-0.1474,2.9106293497398674,-0.007600312954062725
2012-08-13,0.0032251403235441277,-0.14776108369446753,0.0,-0.13699999999999998,1.8495578658448348,-0.02129328701109496
2012-08-14,-0.005956208566139999,-0.15463835052868022,0.0,-0.1485,3.9306431259670696,0.04030972443634705
2012-08-15,0.0004039312595437867,-0.1541721443206944,0.0,-0.1463,3.824692014156094,-0.0026121027427078707
2012-08-16,0.0021737937919403746,-0.15166865414993094,0.0,-0.1429,4.6228770925994045,-0.014099783080260291
2012-08-17,0.004891467472857733,-0.1460627256057756,0.0,-0.13449999999999998,9.672942845932972,-0.03225101126052261
2012-08-20,8.192883419663743e-05,-0.14596883771487595,0.0,-0.1402,10.117940910403986,-0.0005609154139555356
2012-08-21,-0.003900737228768537,-0.15045646608220029,0.0,-0.1502,10.876626647506061,0.026723082062131167
2012-08-22,-0.002016226680344392,-0.1527807333533743,0.0,-0.15109999999999998,10.957697713201998,0.013400731340073134
2012-08-23,-0.002412327368737495,-0.15556834249241538,0.0,-0.15960000000000002,9.773628996108457,0.015789473684210565
2012-08-24,0.005860162494971746,-0.1488359769872008,0.0,-0.1518,8.317088053088362,-0.037669376693766944
2012-08-27,-0.0018513489799945322,-0.1509668182321424,0.0,-0.1635,9.506212813025751,0.012438853948287917
2012-08-28,-0.00151091002617855,-0.1527084569970801,0.0,-0.1649,9.603721062739899,0.010008225939128005
2012-08-29,-0.001956216749558065,-0.15496782440037274,0.0,-0.17059999999999997,10.18151608301815,0.012810140237324704
2012-08-30,-0.003197748757468006,-0.1586729694487392,0.0,-0.1783,11.1991933774383,0.020634920634920617
2012-08-31,0.005937263747124773,-0.1747,0.022878872558782543,-0.1747,10.291665014508133,-0.037490337541870665
2012-09-04,0.0031379058009579587,-0.17102543250228178,0.0,-0.17980000000000002,10.814613251514412,-0.01796168174560938
2012-09-05,0.004008948572732991,-0.16634959695028026,0.0,-0.17739999999999997,10.680340981018922,-0.023440657416139
2012-09-06,0.016742164289250742,-0.1471439248962513,0.0,-0.156,2.924360502671002,-0.10064445358563001
2012-09-07,0.008461666383259011,-0.13751862181371902,0.0,-0.1438,2.861730836415701,-0.05750605326876518
2012-09-10,-0.009727300953527362,-0.1486922974944463,0.0,-0.1628,4.250013903845781,0.07073442727417557
2012-09-11,0.0007476394727611827,-0.14783413138963683,0.0,-0.1641,4.3835685986973125,-0.005028098195800003
2012-09-12,0.006361042767172014,-0.14057886047879886,0.0,-0.158,3.847359389051608,-0.04302824190448028
2012-09-13,0.008899583668909835,-0.130517723410125,0.0,-0.1405,0.4603609461910594,-0.06330669944683474
2012-09-14,-0.0072000963787534405,-0.1387165926251115,0.0,-0.1451,2.3201278446699565,0.055165660192590275
2012-09-17,0.004376928041888235,-0.13375423193474686,0.0,-0.1459,1.7364726856595016,-0.03155302447283362
2012-09-18,0.004902983379500922,-0.1282225753991869,0.0,-0.1418,1.3371463707623974,-0.03665665981987683
2012-09-19,0.0016174099308828287,-0.12640072368254915,0.0,-0.1388,1.1640776063451845,-0.01261408083441978
2012-09-20,-0.002756402074074264,-0.12951411874214616,0.0,-0.1407,5.074338950804838,0.021806853582554384
2012-09-21,0.002671609305161805,-0.12650453873415698,0.0,-0.1398,4.972768418984206,-0.020627938722887797
2012-09-24,0.0012856944189181341,-0.125058057868197,0.0,-0.14150000000000001,5.8746999727411335,-0.010163227594702805
2012-09-25,-0.009095835220992339,-0.13538533579491863,0.0,-0.1543,5.027626333422656,0.07273290003095007
2012-09-26,-0.004607029735010947,-0.1681,0.027475442534595634,-0.1681,6.080332999943254,0.033927544565842474
2012-09-27,0.014212196812196798,-0.15173136713548993,0.0,-0.1484,6.275842874253316,-0.08454608454608446
2012-09-28,-0.002742959333573167,-0.15489920869932802,0.0,-0.1573,7.513046366346124,0.01807773425730631
2012-10-01,-0.00406008822684147,-0.15960731671367645,0.0,-0.1632,7.895811084977575,0.026211161831836284
2012-10-02,0.0031939714608225636,-0.15591535605530926,0.0,-0.15710000000000002,7.217321050416704,-0.020011435105774685
2012-10-03,0.0015176999645075938,-0.15416368187628965,0.0,-0.1543,6.588969217246621,-0.009734127560656735
2012-10-04,0.004507709996382738,-0.1489843934402911,0.0,-0.14550000000000002,4.888149023483519,-0.029239766081871343
2012-10-05,0.0009378513975557852,-0.1479078264809607,0.0,-0.1433,4.67310809838464,-0.006294964028776951
2012-10-08,-0.00133250294126991,-0.14943945793947677,0.0,-0.15109999999999998,5.311540790590749,0.009009009009008967
2012-10-09,-0.006221109286073042,-0.1566350107454223,0.0,-0.1637,6.796504230595524,0.04162962962962969
2012-10-10,-0.0007545466655347518,-0.1575084048526323,0.0,-0.1629,6.583249620084203,0.004817228676678873
2012-10-11,0.005198662238815802,-0.15152203075418602,0.0,-0.1559,7.386229363220009,-0.03300561797752802
2012-10-12,-0.003945886217556921,-0.15608380591026808,0.0,-0.16140000000000002,8.082905756102962,0.026041666666666623
2012-10-15,0.007586036921611577,-0.1473797408331983,0.0,-0.1527,6.113477313883468,-0.048602331788172554
2012-10-16,0.0032934020297921292,-0.1436133622646186,0.0,-0.1522,4.6914172157683005,-0.02234636871508372
2012-10-17,0.002254783575330646,-0.14104056274495524,0.0,-0.1507,4.498826165654723,-0.015700374531835242
2012-10-18,-0.0021434735979476483,-0.143491606813635,0.0,-0.1503,4.986905225691945,0.015197568389057751
2012-10-19,-0.007696368001822256,-0.1523605980470047,0.0,-0.17059999999999997,4.061560336388844,0.053636363636363746
2012-10-22,0.0022676054567881375,-0.1497534109384,0.0,-0.16620000000000001,3.617839163355873,-0.014883148831488308
2012-10-23,-0.015334712745915276,-0.1883,0.02065311730076086,-0.1883,4.981780655408487,0.10233079895300998
2012-10-24,0.004149920886075939,-0.18338902915157076,0.0,-0.1833,4.689529221776656,-0.022038878842676256
2012-10-25,0.0038541343308990624,-0.17884559985434284,0.0,-0.1812,4.327507305699161,-0.0210161662817552
2012-10-26,0.0003581125085422699,-0.17842359162582033,0.0,-0.17809999999999998,4.058195329576739,-0.0020023557126030906
2012-10-31,-0.006475897504213134,-0.1861046839885976,0.0,-0.18600000000000003,5.838504652613823,0.03629507423992458
