,ret
2011-12-01,0.0026679462571977054
2011-12-02,0.0007661902187366528
2011-12-05,0.0004305651225337172
2011-12-06,-0.001287584136463086
2011-12-07,-0.00293907075875854
2011-12-08,-0.014648026315789464
2011-12-09,0.02611283941679444
2011-12-12,-0.0022925840092699935
2011-12-13,0.001316578914885906
2011-12-14,-0.0008731907782827511
2011-12-15,0.009773282442748108
2011-12-16,0.0007263710251218443
2011-12-19,0.0043375572085180385
2011-12-20,0.015288199468812083
2011-12-21,0.009083063829787238
2011-12-22,-0.0025972321016573354
2011-12-23,-0.0025475632044384814
2011-12-27,0.0008954824122371212
2011-12-28,-0.010176638307656935
2011-12-29,0.006076893561367998
2011-12-30,-0.006057266934588683
2012-01-03,0.014713089399854051
2012-01-04,0.004738836757055152
2012-01-05,0.003590001027270986
2012-01-06,0.004969513266361411
2012-01-09,0.0019030727387851075
2012-01-10,0.004126481585517633
2012-01-11,-0.004336959709019371
2012-01-12,0.00395692684659344
2012-01-13,-0.0028487614529806335
2012-01-17,0.00112851684505284
2012-01-18,0.005915986688031553
2012-01-19,0.0060184727544737695
2012-01-20,0.006324675488680382
2012-01-23,0.00485044674217901
2012-01-24,0.0010996345196019996
2012-01-25,0.005622256915723909
2012-01-26,0.00022085801792844502
2012-01-27,0.003384384620025091
2012-01-30,-0.004184604290208799
2012-01-31,-0.0017433579201611147
2012-02-01,0.007760150568019686
2012-02-02,0.006007813869494887
2012-02-03,0.00831553899969028
2012-02-06,0.0012538790071003455
2012-02-07,-0.0019513670520105437
2012-02-08,-0.00546341729201389
2012-02-09,-0.007561820272474793
2012-02-10,-0.013549060136602141
2012-02-13,0.014920159198456883
2012-02-14,-0.004520918886520102
2012-02-15,-0.014298613517568387
2012-02-16,0.011979626186092066
2012-02-17,0.0015086429139830276
2012-02-21,0.00013485928945432144
2012-02-22,0.005888135263368047
2012-02-23,0.011879345843460438
2012-02-24,-0.0074305799515878
2012-02-27,-0.0025460170546208844
2012-02-28,0.00501149116542135
2012-02-29,-0.0006436578218163109
2012-03-01,0.0065804547983355725
2012-03-02,-0.0028133854680119637
2012-03-05,0.0011970509183949797
2012-03-06,-0.015042039396336925
2012-03-07,0.01372264052741153
2012-03-08,0.0068514634727570535
2012-03-09,0.004675210478077307
2012-03-12,0.009136402544315287
2012-03-13,0.006122983127068903
2012-03-14,-0.008247841571050503
2012-03-15,0.0034861830208289027
2012-03-16,0.0021841070099701434
2012-03-19,0.011562332964975915
2012-03-20,0.006268791098834409
2012-03-21,0.007601947231956085
2012-03-22,-0.0018629720577151667
2012-03-23,0.009971508533876376
2012-03-26,0.012417486338797815
2012-03-27,-0.01574609820773588
2012-03-28,-0.0006006779109765865
2012-03-29,0.003739743110053356
2012-03-30,0.0031517511520487863
2012-04-02,-0.0005852233356389623
2012-04-03,-0.002739244673549972
2012-04-04,-0.005332007691795027
2012-04-05,-0.004299675938228534
2012-04-09,-0.008676023014247665
2012-04-10,-0.01117821030841505
2012-04-11,0.0035030213270142024
2012-04-12,0.02177296714048065
2012-04-13,-0.015180592510506866
2012-04-16,0.0027863111930199655
2012-04-17,0.012715036026895488
2012-04-18,-0.005377006452123533
2012-04-19,0.001316339418148137
2012-04-20,0.006038769447051754
2012-04-23,-0.007542531775900301
2012-04-24,0.007218586760946163
2012-04-25,0.009905724293303697
2012-04-26,0.0045181639297474764
2012-04-27,8.316589055938887e-05
2012-04-30,-0.0031630513132523755
2012-05-01,0.003713188030422375
2012-05-02,0.00014308824315696931
2012-05-03,-0.005490736700720327
2012-05-04,-0.008459335835964664
2012-05-07,0.005691998083373246
2012-05-08,-0.0015234119069718844
2012-05-09,-0.00798754927361577
2012-05-10,0.009463178404816459
2012-05-11,-0.0067519899606941535
2012-05-14,-0.013254532392070688
2012-05-15,-0.007305906895436623
2012-05-16,-0.004172366670759717
2012-05-17,-0.01645728000813081
2012-05-18,-0.018364203701947628
2012-05-21,0.036077686445171724
2012-05-22,-0.0063190779864869245
2012-05-23,0.0013714530459158524
2012-05-24,0.004629405157110634
2012-05-25,-0.0022595715647348662
2012-05-29,0.013345972769178266
2012-05-30,-0.022220054945210763
2012-05-31,-0.0032321215261208653
2012-06-01,-0.01608406447238711
2012-06-04,0.006947590923295662
2012-06-05,0.011181887382005451
2012-06-06,0.018098448340639953
2012-06-07,0.002312857480596756
2012-06-08,0.012229297259965044
2012-06-11,-0.012333585037315516
2012-06-12,0.008235913759052546
2012-06-13,-0.005816271341589289
2012-06-14,0.01568174113896169
2012-06-15,0.006188300510943804
2012-06-18,0.01743648757016839
2012-06-19,-0.00040451898925618275
2012-06-20,0.01243303680020764
