Date,Adj Close,Close,High,Low,Open,Volume
2018-04-27,1691.38427734375,1825.0,1870.0,1817.5,1847.5,1153400
2018-04-30,1691.38427734375,1825.0,1825.0,1825.0,1825.0,0
2018-05-01,1730.7724609375,1867.5,1877.5,1775.0,1790.0,2004200
2018-05-02,1756.2589111328125,1895.0,1960.0,1870.0,1895.0,1197600
2018-05-03,1756.2589111328125,1895.0,1895.0,1895.0,1895.0,0
2018-05-04,1756.2589111328125,1895.0,1895.0,1895.0,1895.0,0
2018-05-07,1779.428955078125,1920.0,1955.0,1907.5,1925.0,751000
2018-05-08,1791.0135498046875,1932.5,1945.0,1890.0,1922.5,598200
2018-05-09,1756.2589111328125,1895.0,1942.5,1870.0,1932.5,556600
2018-05-10,1753.9420166015625,1892.5,1917.5,1875.0,1895.0,369400
2018-05-11,1770.16064453125,1910.0,1932.5,1890.0,1890.0,544200
2018-05-14,1772.4779052734375,1912.5,1917.5,1885.0,1915.0,344000
2018-05-15,1753.9420166015625,1892.5,1950.0,1870.0,1922.5,630200
2018-05-16,1740.040283203125,1877.5,1900.0,1852.5,1852.5,535200
2018-05-17,1758.5760498046875,1897.5,1932.5,1895.0,1915.0,542000
2018-05-18,1786.379638671875,1927.5,1932.5,1882.5,1895.0,534800
2018-05-21,1749.3082275390625,1887.5,1917.5,1875.0,1917.5,409000
2018-05-22,1726.1385498046875,1862.5,1902.5,1855.0,1900.0,305200
2018-05-23,1733.0892333984375,1870.0,1902.5,1857.5,1862.5,408400
2018-05-24,1716.8707275390625,1852.5,1880.0,1840.0,1870.0,359800
2018-05-25,1705.28564453125,1840.0,1865.0,1827.5,1865.0,410800
2018-05-28,1709.9197998046875,1845.0,1880.0,1832.5,1855.0,630400
2018-05-29,1707.6026611328125,1842.5,1865.0,1827.5,1840.0,420000
2018-05-30,1677.4822998046875,1810.0,1835.0,1800.0,1807.5,454400
2018-05-31,1721.50439453125,1857.5,1862.5,1825.0,1830.0,662400
2018-06-01,1723.8214111328125,1860.0,1870.0,1832.5,1840.0,606200
2018-06-04,1730.7724609375,1867.5,1902.5,1850.0,1902.5,416000
2018-06-05,1751.625244140625,1890.0,1910.0,1872.5,1872.5,534200
2018-06-06,1698.3350830078125,1832.5,1890.0,1825.0,1890.0,546200
2018-06-07,1714.553955078125,1850.0,1855.0,1817.5,1835.0,298800
2018-06-08,1689.0672607421875,1822.5,1857.5,1805.0,1825.0,422000
2018-06-11,1665.8975830078125,1797.5,1840.0,1792.5,1815.0,400000
2018-06-12,1573.21875,1697.5,1800.0,1662.5,1800.0,1382200
2018-06-13,1577.85302734375,1702.5,1735.0,1690.0,1697.5,614600
2018-06-14,1591.7548828125,1717.5,1747.5,1702.5,1717.5,756000
2018-06-15,1496.759033203125,1615.0,1715.0,1582.5,1697.5,3368800
2018-06-18,1506.0269775390625,1625.0,1670.0,1600.0,1610.0,1278800
2018-06-19,1475.9063720703125,1592.5,1650.0,1580.0,1635.0,868600
2018-06-20,1526.8797607421875,1647.5,1655.0,1572.5,1610.0,1299000
2018-06-21,1538.4642333984375,1660.0,1687.5,1615.0,1640.0,1122800
2018-06-22,1557.0001220703125,1680.0,1697.5,1620.0,1627.5,968000
2018-06-25,1524.5626220703125,1645.0,1692.5,1642.5,1685.0,652400
2018-06-26,1517.6116943359375,1637.5,1647.5,1595.0,1612.5,646800
2018-06-27,1541.87109375,1652.5,1697.5,1632.5,1647.5,1265800
2018-06-28,1434.570068359375,1537.5,1630.0,1532.5,1630.0,1366200
2018-06-29,1455.5638427734375,1560.0,1565.0,1520.0,1562.5,937600
2018-07-02,1420.5740966796875,1522.5,1595.0,1512.5,1560.0,582600
2018-07-03,1422.90673828125,1525.0,1552.5,1492.5,1510.0,705600
2018-07-04,1329.134765625,1424.5,1500.0,1421.5,1490.0,839400
2018-07-05,1319.80419921875,1414.5,1448.0,1406.5,1410.0,507800
